run_id,timestamp,model_id,precision,batch_size,num_prompts,max_new_tokens,throughput_qps,tokens_per_sec,num_requests,elapsed_s,latency_ms_avg,latency_ms_p50,latency_ms_p95,vram_gb_peak,cost_per_query_usd,throughput_per_dollar_tokens_per_sec_per_usd_per_sec,sla_p95_threshold_ms,sla_compliance_rate,speedup_vs_fp32,batch_efficiency
ea4103812ffb,2025-09-25T00:39:30.035565+00:00,mistralai/Mistral-7B-v0.1,fp32,32,500,128,6.143084,909.950397,500,81.392349,162.672,159.736,160.708,28.5901,8.998e-05,1646141.422224,1500.0,1.0,,
ea4103812ffb,2025-09-25T00:40:27.708341+00:00,mistralai/Mistral-7B-v0.1,fp32,64,500,128,9.11615,1373.530271,500,54.847717,109.634,112.7,122.286,30.1909,6.064e-05,2484778.379973,1500.0,1.0,1.509456,
ea4103812ffb,2025-09-25T00:41:18.699393+00:00,mistralai/Mistral-7B-v0.1,fp32,128,500,128,10.425491,1594.828998,500,47.959374,95.868,97.769,99.361,33.3933,5.302e-05,2885117.785211,1500.0,1.0,1.161117,
ea4103812ffb,2025-09-25T00:42:02.745505+00:00,mistralai/Mistral-7B-v0.1,fp32,256,500,128,12.126507,1886.084069,500,41.23199,82.421,83.076,81.734,39.8018,4.558e-05,3412011.380681,1500.0,1.0,1.182625,
ea4103812ffb,2025-09-25T00:42:52.509154+00:00,mistralai/Mistral-7B-v0.1,fp16,32,500,128,10.665528,1579.842048,500,46.880003,93.666,91.459,92.561,14.3032,5.183e-05,2858005.714357,1500.0,1.0,0.837631,
ea4103812ffb,2025-09-25T00:43:22.722681+00:00,mistralai/Mistral-7B-v0.1,fp16,64,500,128,18.367113,2767.372977,500,27.222568,54.384,54.932,62.037,15.1079,3.01e-05,5006302.872431,1500.0,1.0,1.467259,
ea4103812ffb,2025-09-25T00:43:44.728968+00:00,mistralai/Mistral-7B-v0.1,fp16,128,500,128,26.082685,3989.97273,500,19.169805,38.289,38.962,39.637,16.7201,2.119e-05,7218041.119663,1500.0,1.0,2.11548,
ea4103812ffb,2025-09-25T00:44:03.202628+00:00,mistralai/Mistral-7B-v0.1,fp16,256,500,128,31.958443,4970.624467,500,15.645318,31.246,31.698,30.771,19.9427,1.73e-05,8992084.463809,1500.0,1.0,2.63542,
ea4103812ffb,2025-09-25T00:45:45.667216+00:00,mistralai/Mistral-7B-v0.1,int4,32,500,128,5.476983,811.283542,500,91.291141,182.494,177.877,178.386,4.6806,0.00010093,1467648.618696,1500.0,1.0,0.430142,
ea4103812ffb,2025-09-25T00:46:42.749047+00:00,mistralai/Mistral-7B-v0.1,int4,64,500,128,10.848377,1634.524922,500,46.089845,92.124,90.284,110.467,8.8159,5.095e-05,2956929.507411,1500.0,1.0,0.866624,
ea4103812ffb,2025-09-25T00:47:19.208130+00:00,mistralai/Mistral-7B-v0.1,int4,128,500,128,19.809768,3030.379454,500,25.240073,50.434,50.323,53.225,7.0734,2.79e-05,5482093.483936,1500.0,1.0,1.606704,
ea4103812ffb,2025-09-25T00:47:49.412002+00:00,mistralai/Mistral-7B-v0.1,int4,256,500,128,26.315475,4092.951104,500,19.000227,37.957,38.305,37.592,13.65,2.101e-05,7404333.656015,1500.0,1.0,2.170079,
